silver-infovis-topics--userA.txt,lda_5_0.1_0.001,Score
A20,3,0.1402128657550537
A20,2,0.018343487569323757
A20,1,0.024940821502902645
A20,0,0.05986117990145301
A20,4,0.005855844184709061
A19,3,0.48434332518835255
A19,2,0.008265026031604493
A19,1,0.9502783408451094
A19,0,0.0213633042323609
A19,4,0.01107150801938574
A18,3,0.040814363439079716
A18,2,0.005633062311082708
A18,1,0.25945290269134014
A18,0,0.040502559321069595
A18,4,0.0017621891844916018
A09,3,0.06611124382186008
A09,2,0.07503709596556948
A09,1,0.0509996368557461
A09,0,0.0010836032125975598
A09,4,0.002283735372184454
A08,3,0.20096051999614792
A08,2,0.16180898918305534
A08,1,0.011888547676575337
A08,0,0.005722854896792555
A08,4,0.003771331609954123
A07,3,0.22518852854963087
A07,2,0.14050463113895792
A07,1,0.01972299892023941
A07,0,0.018631214131457637
A07,4,0.02175770159489788
A02,3,0.03783984343630642
A02,2,0.0991356410772368
A02,1,0.05115795451531194
A02,0,0.003500088724199225
A02,4,0.008268979370732952
A11,3,0.026867590204188396
A11,2,0.0034920590134189322
A11,1,0.03891113103770357
A11,0,0.013783791031079875
A11,4,0.015756775671096995
A01,3,0.035132287291844616
A01,2,0.348742024986203
A01,1,0.07676992888178533
A01,0,0.02725947379843482
A01,4,0.04865925414206313
A10,3,0.09093775535093421
A10,2,0.004579036806384332
A10,1,0.8526567642590843
A10,0,0.027145627378217903
A10,4,0.001169448877537718
A13,3,0.03479500602059664
A13,2,0.005802633053481618
A13,1,0.004101175355914351
A13,0,0.703884846063579
A13,4,0.004706719223419192
A12,3,0.14110286161365826
A12,2,0.10730563804038558
A12,1,0.03027930038186557
A12,0,0.019572659508809837
A12,4,0.044318506541421436
A15,3,0.17891320624227275
A15,2,0.13147712160761696
A15,1,0.15508902137509217
A15,0,0.0019516899517099831
A15,4,0.00991278343307084
A06,3,0.09201591243083401
A06,2,0.3431360703561438
A06,1,0.17824040370679822
A06,0,0.023167191792628335
A06,4,0.026888785299668667
A14,3,0.7813676292519816
A14,2,0.016716843484390568
A14,1,0.011373586820306739
A14,0,0.0018484385827121027
A14,4,0.0011925978425655923
A05,3,0.2669999025503217
A05,2,8.657883548451893E-4
A05,1,0.021612616284618583
A05,0,0.8897418996596067
A05,4,0.001614313071237624
A17,3,0.045441808499992103
A17,2,0.019181479746416527
A17,1,0.12112021891248759
A17,0,0.006544446491832133
A17,4,0.011212225607288517
A04,3,0.0043555848009887484
A04,2,0.06445191658009247
A04,1,0.0038497794171172546
A04,0,0.0049166871249975794
A04,4,8.12258888842417E-4
A16,3,0.017622171549632634
A16,2,0.0218934196997362
A16,1,0.007540782795825405
A16,0,0.8315117167807721
A16,4,0.010135077801168693
A03,3,0.1452447072841816
A03,2,0.13235470621688075
A03,1,0.012484447412268186
A03,0,0.02488585264931397
A03,4,0.11502587320129493
